Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T003_002,SE_T003_001,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T005_001,SE_T005_002,SE_T005_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T020_001,SE_T020_002,SE_T020_003,SE_T020_004,SE_T020_005,SE_T020_006,SE_T020_007,SE_T020_008,SE_T020_009,SE_T025_001,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T025_009,SE_T025_010,SE_T025_011,SE_T025_012,SE_T025_013,SE_T025_014,SE_T025_015,SE_T025_016,SE_T025_017,SE_T025_018,SE_T069_001,SE_T069_002,SE_T069_003,SE_T069_004,SE_T069_005,SE_T069_006,SE_T069_007,SE_T073_001,SE_T073_002,SE_T073_003,SE_T093_001,SE_T155_001,SE_T156_001,SE_T156_002,SE_T156_003,SE_T185_001,SE_T185_002,SE_T185_003,SE_T185_004,SE_T185_005
"Census Tract 10.01","Census Tract 10.01, Benton County, Oregon","41003001001","140","00","92","41","003","17",,"001001",3970,3970,5774.003,0.687564575588767,0.6875646,0.6875646,0,3970,1973,1997,3970,295,226,238,145,733,642,508,441,234,194,204,110,3970,3242,63,62,197,21,238,147,1726,888,641,247,82,165,838,372,466,4029,4011,2846,907,643,1039,5,22,12,146,72,1165,669,209,287,18,0,18,3114,2048,20,2028,1960,68,1066,2028,1960,68,28125,1847,1726,586,1140,4003,799,1114,1913,2090
"Census Tract 10.02","Census Tract 10.02, Benton County, Oregon","41003001002","140","00","92","41","003","17",,"001002",3172,3172,4919.282,0.644809551241164,0.6448095,0.6448095,0,3172,1596,1576,3172,153,162,216,130,612,438,458,404,203,206,159,31,3172,2823,27,23,174,1,38,86,1299,767,601,166,26,140,532,259,273,3113,3107,2230,765,625,666,21,38,37,22,56,877,246,241,390,6,0,6,2635,1782,15,1767,1620,147,853,1767,1620,147,41165,1366,1299,758,541,3106,462,565,1027,2079
"Census Tract 11.01","Census Tract 11.01, Benton County, Oregon","41003001101","140","00","92","41","003","17",,"001101",3298,3298,13003.31,0.253627816036213,0.2536278,0.2536278,0,3298,1732,1566,3298,51,46,40,20,2021,539,203,140,59,43,73,63,3298,2851,30,29,247,4,55,82,1253,252,152,100,35,65,1001,565,436,3298,2367,685,260,172,165,0,44,5,0,39,1682,572,424,686,931,0,931,3155,1630,0,1630,1510,120,1525,1630,1510,120,16063,1368,1253,139,1114,2477,1089,597,1686,791
"Census Tract 11.02","Census Tract 11.02, Benton County, Oregon","41003001102","140","00","92","41","003","17",,"001102",4539,4539,7767.654,0.584346336739784,0.5843464,0.5843464,0,4539,2487,2052,4539,127,74,112,91,2046,891,403,341,157,108,133,56,4539,3796,63,27,429,10,80,134,1935,600,443,157,50,107,1335,676,659,4539,3896,1684,624,475,393,10,46,0,11,125,2212,823,492,897,643,16,627,4182,2419,0,2419,2314,105,1763,2419,2314,105,24003,2053,1935,480,1455,3873,1467,646,2113,1760
"Census Tract 101","Census Tract 101, Benton County, Oregon","41003010100","140","00","92","41","003","17",,"010100",6984,6984,352.7226,19.8002647116512,20.31314,19.80026,0.5128761,6984,3456,3528,6984,434,503,576,359,380,662,1119,1325,862,440,263,61,6984,6655,6,37,95,4,58,129,2489,2101,1911,190,57,133,388,182,206,6984,6976,6492,2131,1952,2163,53,9,31,58,95,484,307,74,103,8,0,8,5336,3659,8,3651,3527,124,1677,3651,3527,124,66408,2565,2489,2265,224,6957,162,431,593,6364
"Census Tract 102","Census Tract 102, Benton County, Oregon","41003010200","140","00","92","41","003","17",,"010200",3733,3733,19.88395,187.739384120699,187.8567,187.7394,0.1173129,3733,1848,1885,3733,208,239,358,220,247,327,630,835,347,174,118,30,3733,3516,10,35,38,9,32,93,1334,1062,948,114,46,68,272,145,127,3733,3733,3382,1059,1000,1182,43,14,23,30,31,351,196,67,88,0,0,0,2881,2008,0,2008,1948,60,873,2008,1948,60,59189,1396,1334,1053,281,3733,176,559,735,2998
"Census Tract 103","Census Tract 103, Benton County, Oregon","41003010300","140","00","92","41","003","17",,"010300",3310,3310,13.62794,242.883373977022,242.9103,242.8834,0.02691673,3310,1614,1696,3310,132,224,279,231,221,243,541,679,358,242,127,33,3310,3182,3,23,22,7,28,45,1226,951,824,127,42,85,275,120,155,3310,3307,2962,961,838,998,55,12,26,19,53,345,208,62,75,3,0,3,2607,1745,5,1740,1703,37,862,1740,1703,37,47340,1340,1226,1021,205,3293,272,489,761,2532
"Census Tract 104","Census Tract 104, Benton County, Oregon","41003010400","140","00","92","41","003","17",,"010400",3681,3681,22.23247,165.568643561283,166.7423,165.5686,1.173683,3681,1891,1790,3681,207,255,286,185,265,392,645,665,354,250,151,26,3681,3507,7,33,18,8,23,85,1362,1043,895,148,52,96,319,179,140,3681,3681,3280,1060,965,1063,61,15,6,52,58,401,239,74,88,0,0,0,2892,1973,0,1973,1869,104,919,1973,1869,104,43750,1456,1362,1016,346,3675,332,654,986,2689
"Census Tract 105","Census Tract 105, Benton County, Oregon","41003010500","140","00","92","41","003","17",,"010500",3495,3495,1071.879,3.26063055118402,3.301785,3.260631,0.04115386,3495,1751,1744,3495,261,324,349,221,281,525,580,470,202,154,100,28,3495,3252,7,59,40,4,45,88,1229,915,659,256,64,192,314,149,165,3495,3481,3014,904,636,1240,36,30,10,38,120,467,236,92,139,14,0,14,2481,1765,0,1765,1658,107,716,1765,1658,107,38571,1312,1229,691,538,3492,320,1041,1361,2131
"Census Tract 201","Census Tract 201, Clackamas County, Oregon","41005020100","140","00","92","41","005","19",,"020100",3878,3878,2194.501,1.76714409487612,1.849265,1.767144,0.08212123,3878,1853,2025,3878,205,292,298,184,174,347,636,745,407,263,230,97,3878,3666,18,29,58,14,18,75,1627,1053,910,143,32,111,574,192,382,3878,3868,3161,1038,922,1087,13,22,33,22,24,707,486,105,116,10,0,10,3038,1980,0,1980,1958,22,1058,1980,1958,22,61469,1722,1627,1213,414,3870,198,210,408,3462
"Census Tract 202","Census Tract 202, Clackamas County, Oregon","41005020200","140","00","92","41","005","19",,"020200",5998,5998,2728.331,2.19841327450166,2.594918,2.198413,0.3965042,5998,2839,3159,5998,265,325,408,270,358,559,946,1295,677,418,389,88,5998,5623,33,20,194,7,31,90,2682,1647,1406,241,49,192,1035,414,621,5998,5977,4723,1661,1409,1483,36,21,18,57,38,1254,825,189,240,21,0,21,4934,3243,0,3243,3080,163,1691,3243,3080,163,61935,2941,2682,1735,947,5998,165,502,667,5331
"Census Tract 203.02","Census Tract 203.02, Clackamas County, Oregon","41005020302","140","00","92","41","005","19",,"020302",3578,3578,2670.315,1.33991701892055,1.339917,1.339917,0,3578,1738,1840,3578,214,223,233,142,304,554,633,624,323,180,111,37,3578,3260,21,10,141,8,48,90,1517,935,761,174,49,125,582,282,300,3578,3578,2834,929,772,906,29,8,32,72,86,744,429,165,150,0,0,0,2915,2178,0,2178,2104,74,737,2178,2104,74,54896,1596,1517,961,556,3562,172,406,578,2984
"Census Tract 203.03","Census Tract 203.03, Clackamas County, Oregon","41005020303","140","00","92","41","005","19",,"020303",5162,5162,5467.683,0.944092791163511,0.9440928,0.9440928,0,5162,2434,2728,5162,214,231,310,218,483,776,746,963,531,291,231,168,5162,4540,51,13,310,11,56,181,2510,1298,1039,259,81,178,1212,495,717,5162,5115,3645,1320,1171,1087,13,14,15,14,11,1470,967,240,263,47,0,47,4353,2919,0,2919,2796,123,1434,2919,2796,123,53536,2729,2510,1233,1277,5151,223,514,737,4414
"Census Tract 203.04","Census Tract 203.04, Clackamas County, Oregon","41005020304","140","00","92","41","005","19",,"020304",5701,5701,6026.571,0.945977355879641,0.9459773,0.9459773,0,5701,2798,2903,5701,380,569,559,276,401,713,1187,1004,335,175,88,14,5701,4827,40,10,574,5,56,189,2124,1507,1284,223,46,177,617,248,369,5701,5697,4887,1503,1272,1904,29,17,27,83,52,810,481,143,186,4,4,0,4060,2958,0,2958,2837,121,1102,2958,2837,121,79768,2243,2124,1449,675,5683,247,255,502,5181
"Census Tract 204.01","Census Tract 204.01, Clackamas County, Oregon","41005020401","140","00","92","41","005","19",,"020401",5169,5169,3212.267,1.60914413503074,1.617073,1.609144,0.007928608,5169,2527,2642,5169,298,380,463,272,261,514,959,1019,544,277,141,41,5169,4812,27,16,127,6,44,137,1990,1484,1207,277,66,211,506,211,295,5169,5163,4528,1490,1225,1644,21,29,22,35,62,635,390,113,132,6,0,6,3914,2784,0,2784,2685,99,1130,2784,2685,99,65089,2072,1990,1622,368,5161,170,251,421,4740
"Census Tract 204.02","Census Tract 204.02, Clackamas County, Oregon","41005020402","140","00","92","41","005","19",,"020402",7345,7345,2652.955,2.76861051093673,3.017184,2.76861,0.2485733,7345,3673,3672,7345,330,576,714,475,309,320,1188,1772,932,404,275,50,7345,6918,25,24,200,13,28,137,2621,2216,2051,165,52,113,405,164,241,7345,7345,6861,2221,2179,2396,7,15,9,26,8,484,329,70,85,0,0,0,5552,3725,0,3725,3653,72,1827,3725,3653,72,110126,2694,2621,2467,154,7327,75,257,332,6995
"Census Tract 205.01","Census Tract 205.01, Clackamas County, Oregon","41005020501","140","00","92","41","005","19",,"020501",4465,4465,876.0831,5.09654832377602,5.096549,5.096549,0,4465,2185,2280,4465,356,413,351,192,280,460,861,865,359,159,123,46,4465,4121,27,29,165,0,32,91,1627,1208,1051,157,43,114,419,204,215,4465,4410,3890,1191,1067,1436,22,23,14,61,76,520,324,94,102,55,55,0,3275,2213,0,2213,2180,33,1062,2213,2180,33,79345,1879,1627,1147,480,4389,304,191,495,3894
"Census Tract 205.02","Census Tract 205.02, Clackamas County, Oregon","41005020502","140","00","92","41","005","19",,"020502",8856,8856,2272.608,3.89684508190772,4.058308,3.896845,0.1614625,8856,4353,4503,8856,475,642,896,525,467,656,1536,1942,967,450,243,57,8856,8233,67,22,294,5,58,177,3194,2572,2259,313,75,238,622,260,362,8856,8729,8000,2612,2259,2980,3,0,77,17,52,729,488,118,123,127,104,23,6668,4682,0,4682,4470,212,1986,4682,4470,212,84907,3324,3194,2742,452,8732,184,320,504,8228
"Census Tract 205.03","Census Tract 205.03, Clackamas County, Oregon","41005020503","140","00","92","41","005","19",,"020503",2271,2271,2505.618,0.906363272725588,0.9134502,0.9063632,0.007086906,2271,1074,1197,2271,104,162,186,99,108,169,339,448,272,199,151,34,2271,2139,15,5,40,3,29,40,947,662,552,110,26,84,285,96,189,2348,2348,2041,717,555,627,27,0,28,7,80,307,270,15,22,0,0,0,1835,1157,0,1157,1114,43,678,1157,1114,43,70000,992,947,692,255,2341,103,123,226,2115
"Census Tract 206","Census Tract 206, Clackamas County, Oregon","41005020600","140","00","92","41","005","19",,"020600",7119,7119,2935.583,2.42507185361477,2.688628,2.425072,0.263556,7119,3589,3530,7119,497,600,655,375,451,760,1403,1319,561,289,163,46,7119,6686,31,23,183,5,56,135,2588,1981,1673,308,87,221,607,292,315,7042,7042,6152,1917,1610,2303,97,32,17,43,133,890,419,198,273,0,0,0,5210,3964,0,3964,3809,155,1246,3964,3809,155,70625,2721,2588,2037,551,6959,346,469,815,6144
"Census Tract 207","Census Tract 207, Clackamas County, Oregon","41005020700","140","00","92","41","005","19",,"020700",3789,3789,2862.536,1.32365130649254,1.457237,1.323651,0.1335856,3789,1913,1876,3789,257,307,330,210,245,419,731,668,294,176,125,27,3789,3580,13,16,71,8,33,68,1387,1073,876,197,54,143,314,151,163,3789,3789,3429,1072,848,1292,44,24,0,47,102,360,256,54,50,0,0,0,2800,2002,7,1995,1948,47,798,1995,1948,47,59741,1431,1387,1082,305,3781,108,486,594,3187
"Census Tract 208","Census Tract 208, Clackamas County, Oregon","41005020800","140","00","92","41","005","19",,"020800",3927,3927,2606.647,1.50653323490302,1.623827,1.506533,0.117294,3927,1894,2033,3927,232,206,171,102,360,653,591,620,373,277,259,83,3927,3593,35,29,62,6,72,130,1933,912,667,245,58,187,1021,438,583,3927,3787,2499,885,815,684,33,7,9,9,57,1288,844,197,247,140,116,24,3300,2233,0,2233,2174,59,1067,2233,2174,59,37500,2089,1933,735,1198,3774,263,661,924,2850
"Census Tract 209","Census Tract 209, Clackamas County, Oregon","41005020900","140","00","92","41","005","19",,"020900",3858,3858,5803.94,0.664720840405438,0.6647208,0.6647208,0,3858,1823,2035,3858,295,270,262,143,319,569,642,584,285,250,169,70,3858,3532,55,41,51,5,37,137,1592,998,701,297,77,220,594,244,350,3858,3834,3126,996,698,1157,92,22,29,38,94,708,474,111,123,24,24,0,2982,1918,0,1918,1806,112,1064,1918,1806,112,38891,1663,1592,966,626,3827,493,658,1151,2676
"Census Tract 210","Census Tract 210, Clackamas County, Oregon","41005021000","140","00","92","41","005","19",,"021000",4628,4628,5035.331,0.919105416704633,0.9191054,0.9191054,0,4628,2248,2380,4628,283,340,319,172,298,601,802,683,421,326,263,120,4628,4233,24,64,146,9,55,97,1831,1246,942,304,86,218,585,262,323,4628,4549,3870,1279,937,1220,134,77,75,25,123,679,476,88,115,79,53,26,3658,2481,0,2481,2396,85,1177,2481,2396,85,43986,1898,1831,1285,546,4542,365,705,1070,3472
"Census Tract 211","Census Tract 211, Clackamas County, Oregon","41005021100","140","00","92","41","005","19",,"021100",5576,5576,5803.531,0.960794412947087,0.9622546,0.9607944,0.001460238,5576,2719,2857,5576,366,372,393,214,449,826,911,880,446,347,261,111,5576,5119,38,53,131,19,98,118,2152,1482,1105,377,116,261,670,293,377,5576,5468,4618,1489,1123,1596,109,16,44,105,136,850,497,178,175,108,89,19,4385,3152,0,3152,2908,244,1233,3152,2908,244,46869,2212,2152,1527,625,5482,298,729,1027,4455
"Census Tract 212","Census Tract 212, Clackamas County, Oregon","41005021200","140","00","92","41","005","19",,"021200",3837,3837,5016.848,0.764822848600071,0.8839956,0.7648228,0.1191728,3837,1676,2161,3837,203,213,198,104,268,489,474,453,225,235,517,458,3837,3459,25,45,54,8,140,106,1831,856,616,240,62,178,975,338,637,3837,3655,2576,887,675,801,34,22,8,49,100,1079,846,110,123,182,156,26,3219,1737,7,1730,1563,167,1482,1730,1563,167,36526,2021,1831,737,1094,3662,343,586,929,2733
"Census Tract 213","Census Tract 213, Clackamas County, Oregon","41005021300","140","00","92","41","005","19",,"021300",5449,5449,4134.841,1.31782579687628,1.411144,1.317826,0.09331819,5449,2675,2774,5449,382,360,341,202,410,811,852,870,598,330,235,58,5449,5001,31,41,91,4,119,162,2208,1488,1166,322,92,230,720,333,387,5449,5431,4519,1504,1131,1478,95,8,58,79,166,912,556,152,204,18,0,18,4294,3061,0,3061,2840,221,1233,3061,2840,221,46053,2292,2208,1564,644,5415,405,821,1226,4189
"Census Tract 214","Census Tract 214, Clackamas County, Oregon","41005021400","140","00","92","41","005","19",,"021400",4788,4788,3749.682,1.27690823277946,1.282307,1.276908,0.005398867,4788,2369,2419,4788,253,287,351,207,374,607,778,839,473,330,220,69,4788,4415,46,13,117,2,55,140,1954,1282,1045,237,68,169,672,324,348,4788,4761,4007,1309,1097,1345,50,36,24,47,99,754,523,114,117,27,17,10,3817,2710,9,2701,2583,118,1107,2701,2583,118,51474,2093,1954,1315,639,4752,409,383,792,3960
"Census Tract 215","Census Tract 215, Clackamas County, Oregon","41005021500","140","00","92","41","005","19",,"021500",4309,4309,1810.029,2.38062492953635,2.380625,2.380625,0,4309,2039,2270,4309,226,264,261,183,314,394,623,791,529,329,284,111,4309,3945,25,24,113,16,56,130,1671,1224,1021,203,57,146,447,167,280,4309,4255,3674,1221,1119,1124,44,31,49,34,52,581,341,95,145,54,49,5,3503,2327,0,2327,2254,73,1176,2327,2254,73,59969,1704,1671,1359,312,4240,160,362,522,3718
"Census Tract 216.01","Census Tract 216.01, Clackamas County, Oregon","41005021601","140","00","92","41","005","19",,"021601",5800,5800,6117.475,0.948103620557315,0.9481036,0.9481036,0,5800,2910,2890,5800,545,435,360,200,736,1057,927,697,364,249,179,51,5800,4911,82,60,194,35,289,229,2290,1417,910,507,154,353,873,450,423,5800,5788,4607,1423,1049,1661,111,86,31,78,168,1181,623,235,323,12,0,12,4447,3117,10,3107,2880,227,1330,3107,2880,227,35675,2455,2290,1106,1184,5751,735,1467,2202,3549
"Census Tract 216.02","Census Tract 216.02, Clackamas County, Oregon","41005021602","140","00","92","41","005","19",,"021602",4926,4926,4842.012,1.01734564021146,1.0233,1.017346,0.005954468,4926,2410,2516,4926,402,411,348,193,498,776,709,616,422,296,208,47,4926,4186,68,41,156,13,293,169,1876,1322,938,384,123,261,554,252,302,4926,4921,4214,1346,971,1469,91,96,23,77,141,707,390,138,179,5,0,5,3730,2513,0,2513,2315,198,1217,2513,2315,198,39015,1942,1876,1070,806,4870,480,982,1462,3408
"Census Tract 217","Census Tract 217, Clackamas County, Oregon","41005021700","140","00","92","41","005","19",,"021700",6141,6141,3488.027,1.76059425757957,1.928224,1.760594,0.1676301,6141,2920,3221,6141,393,378,400,225,581,797,865,830,572,470,456,174,6141,5597,36,31,106,7,195,169,2628,1575,1181,394,114,280,1053,436,617,6141,6112,4834,1591,1225,1623,94,92,28,73,108,1278,821,214,243,29,0,29,4947,3167,20,3147,2984,163,1780,3147,2984,163,41845,2797,2628,1545,1083,6117,507,888,1395,4722
"Census Tract 218.01","Census Tract 218.01, Clackamas County, Oregon","41005021801","140","00","92","41","005","19",,"021801",5113,5113,3482.631,1.46814270954151,1.468143,1.468143,0,5113,2530,2583,5113,251,281,376,221,343,415,766,1026,690,434,253,57,5113,4828,18,32,73,3,55,104,1892,1520,1345,175,41,134,372,155,217,5113,5103,4683,1556,1419,1443,47,35,68,63,52,420,285,46,89,10,0,10,4120,2692,0,2692,2603,89,1428,2692,2603,89,62961,1934,1892,1758,134,5101,151,156,307,4794
"Census Tract 218.02","Census Tract 218.02, Clackamas County, Oregon","41005021802","140","00","92","41","005","19",,"021802",4059,4059,5769.655,0.703508278802836,0.7035083,0.7035083,0,4059,1966,2093,4059,279,276,276,155,454,583,596,538,319,226,251,106,4059,3505,46,32,67,10,281,118,1693,996,684,312,92,220,697,284,413,4059,4059,3236,1005,728,1138,49,87,43,104,82,823,560,131,132,0,0,0,3092,2100,5,2095,1970,125,992,2095,1970,125,38241,1798,1693,802,891,4047,475,813,1288,2759
"Census Tract 219","Census Tract 219, Clackamas County, Oregon","41005021900","140","00","92","41","005","19",,"021900",3257,3257,5530.654,0.58889963968945,0.5888996,0.5888996,0,3257,1588,1669,3257,263,263,232,136,330,537,603,363,217,141,135,37,3257,2976,19,29,54,6,97,76,1299,843,572,271,70,201,456,215,241,3257,3253,2666,835,578,1048,13,31,29,50,82,587,331,118,138,4,0,4,2451,1694,0,1694,1620,74,757,1694,1620,74,39474,1353,1299,663,636,3252,365,609,974,2278
"Census Tract 220","Census Tract 220, Clackamas County, Oregon","41005022000","140","00","92","41","005","19",,"022000",6397,6397,4570.093,1.39975281738757,1.402172,1.399753,0.002419316,6397,3108,3289,6397,397,490,538,339,457,760,1067,981,638,411,247,72,6397,5821,48,27,146,21,136,198,2255,1761,1402,359,85,274,494,202,292,6397,6333,5738,1782,1398,2125,113,34,63,120,103,595,379,94,122,64,64,0,4858,3428,5,3423,3194,229,1430,3423,3194,229,52117,2327,2255,1782,473,6328,449,589,1038,5290
"Census Tract 221.01","Census Tract 221.01, Clackamas County, Oregon","41005022101","140","00","92","41","005","19",,"022101",6569,6569,5052.801,1.30007088835933,1.304283,1.300071,0.004211989,6569,3224,3345,6569,393,453,464,288,541,788,958,1104,747,440,277,116,6569,6055,41,41,128,10,111,183,2468,1830,1470,360,100,260,638,279,359,6569,6463,5689,1829,1532,1998,73,30,22,70,135,774,502,119,153,106,74,32,5179,3550,10,3540,3379,161,1629,3540,3379,161,51163,2595,2468,1984,484,6449,433,757,1190,5259
"Census Tract 221.03","Census Tract 221.03, Clackamas County, Oregon","41005022103","140","00","92","41","005","19",,"022103",4013,4013,2781.155,1.44292599039069,1.442926,1.442926,0,4013,1968,2045,4013,413,353,341,155,275,726,804,499,224,135,71,17,4013,3247,80,13,431,25,83,134,1392,1082,910,172,50,122,310,140,170,4013,4013,3580,1069,941,1351,26,34,46,28,85,433,231,84,118,0,0,0,2854,2048,0,2048,1945,103,806,2048,1945,103,66563,1463,1392,1096,296,3977,196,177,373,3604
"Census Tract 221.04","Census Tract 221.04, Clackamas County, Oregon","41005022104","140","00","92","41","005","19",,"022104",11842,11842,1826.604,6.48306787521795,6.483068,6.483068,0,11842,5792,6050,11842,911,840,792,446,1506,2032,1958,1585,833,508,356,75,11842,10196,166,95,653,34,295,403,4803,3008,2234,774,222,552,1795,928,867,11842,11810,9739,3144,2379,3464,69,141,111,164,267,2071,1308,359,404,32,28,4,9195,6867,0,6867,6370,497,2328,6867,6370,497,43010,5105,4803,2444,2359,11789,989,2066,3055,8734
